PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
Devin Booker,0.125,0.925,0.197,1.164,0.345,0.929,0.0,0.0,0.04,1.059,0.068,0.94,0.049,0.75,0.028,1.447,0.088,0.953,0.011,1.053,0.047,0.75
Devin Harris,0.0,0.0,0.17,0.91,0.192,0.75,0.0,0.0,0.0,0.0,0.344,1.032,0.041,0.474,0.046,1.238,0.102,1.064,0.0,0.0,0.061,0.607
Devin Robinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0
Devonte' Graham,0.12,0.531,0.18,0.729,0.297,0.937,0.0,0.0,0.0,0.0,0.218,0.966,0.038,0.3,0.0,0.0,0.053,1.0,0.0,0.0,0.06,0.5
Dewayne Dedmon,0.0,0.0,0.119,1.167,0.0,0.0,0.213,1.281,0.029,0.579,0.252,1.024,0.0,0.0,0.153,1.29,0.0,0.0,0.11,0.722,0.095,0.468
Dillon Brooks,0.0,0.0,0.135,0.952,0.187,0.655,0.0,0.0,0.0,0.0,0.297,1.087,0.071,0.636,0.084,1.077,0.097,1.067,0.0,0.0,0.0,0.0
Dion Waiters,0.157,0.773,0.11,1.194,0.201,0.858,0.0,0.0,0.0,0.0,0.288,1.228,0.116,0.708,0.0,0.0,0.06,1.088,0.0,0.0,0.044,0.2
Dirk Nowitzki,0.027,0.727,0.112,0.609,0.0,0.0,0.165,0.868,0.202,0.843,0.377,1.039,0.0,0.0,0.0,0.0,0.056,0.783,0.0,0.0,0.027,0.545
Domantas Sabonis,0.0,0.0,0.051,1.22,0.0,0.0,0.304,1.076,0.157,1.006,0.067,1.03,0.0,0.0,0.184,1.17,0.0,0.0,0.126,1.328,0.099,0.408
Donovan Mitchell,0.081,0.853,0.131,0.885,0.445,0.946,0.0,0.0,0.0,0.0,0.12,1.225,0.083,0.919,0.017,1.333,0.049,0.649,0.018,1.0,0.049,0.747
Donte DiVincenzo,0.0,0.0,0.25,1.027,0.081,1.167,0.0,0.0,0.0,0.0,0.311,0.826,0.068,0.0,0.088,1.385,0.101,0.8,0.0,0.0,0.0,0.0
Dorian Finney-Smith,0.029,0.211,0.159,1.252,0.065,0.548,0.015,1.2,0.0,0.0,0.357,0.913,0.029,0.895,0.1,1.246,0.057,0.946,0.125,1.0,0.051,0.364
Doug McDermott,0.0,0.0,0.118,1.172,0.0,0.0,0.0,0.0,0.0,0.0,0.303,1.195,0.136,0.94,0.152,1.453,0.213,0.962,0.02,1.8,0.035,0.294
Dragan Bender,0.0,0.0,0.106,1.148,0.0,0.0,0.196,0.9,0.051,0.692,0.337,0.663,0.0,0.0,0.118,1.333,0.0,0.0,0.078,1.75,0.078,0.4
Draymond Green,0.026,0.625,0.201,0.937,0.027,1.0,0.073,0.783,0.056,0.714,0.276,0.815,0.0,0.0,0.14,0.977,0.0,0.0,0.032,1.0,0.15,0.234
Duncan Robinson,0.0,0.0,0.192,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.327,1.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Bacon,0.108,1.344,0.22,1.369,0.166,0.673,0.0,0.0,0.0,0.0,0.294,0.966,0.088,0.885,0.0,0.0,0.051,1.333,0.0,0.0,0.0,0.0
Dwight Howard,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.059,0.189,0.95,0.0,0.0,0.0,0.0,0.198,1.571,0.0,0.0,0.179,0.947,0.104,0.636
Dwight Powell,0.015,1.2,0.067,1.159,0.0,0.0,0.252,1.331,0.021,0.786,0.205,1.007,0.0,0.0,0.261,1.541,0.017,1.0,0.071,1.234,0.081,0.774
Dwyane Wade,0.087,0.804,0.127,0.955,0.348,0.79,0.0,0.0,0.073,0.889,0.104,1.055,0.066,0.852,0.058,1.153,0.041,0.88,0.033,0.829,0.055,0.809
