PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Marcus Morris Sr.,0.148,1.052,173.8,0.133,1.223,158.0,0.166,0.692,197.5,0.057,0.896,63.2,0.088,0.798,102.7,0.205,1.025,244.9,0.048,0.821,55.3,0.025,1.069,31.6,0.048,0.842,55.3,0.04,1.17,47.4,0.042,0.5,47.4
Marcus Smart,0.074,0.667,71.10000000000001,0.12,0.811,118.5,0.191,0.667,197.5,0.0,0.0,0.0,0.096,0.99,94.8,0.224,0.952,229.1,0.063,0.641,63.2,0.044,1.022,47.4,0.031,0.625,31.6,0.039,1.125,39.5,0.115,0.684,118.5
Marcus Thornton,0.062,1.4,16.5,0.107,0.923,26.400000000000002,0.251,0.541,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.865,52.800000000000004,0.049,1.5,13.200000000000001,0.045,1.455,9.9,0.156,0.842,39.6,0.062,1.267,16.5,0.041,0.3,9.9
Mario Hezonja,0.061,0.52,26.0,0.169,0.855,71.5,0.152,0.758,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.882,110.5,0.069,0.643,26.0,0.025,0.6,13.0,0.147,0.967,58.5,0.029,0.5,13.0,0.076,0.419,32.5
Markieff Morris,0.095,0.962,106.39999999999999,0.083,1.28,91.2,0.0,0.0,0.0,0.135,0.974,152.0,0.188,0.876,212.79999999999998,0.21,0.919,235.6,0.009,0.9,7.6000000000000005,0.097,1.222,106.39999999999999,0.048,1.0,53.199999999999996,0.067,0.947,76.0,0.061,0.426,68.4
Marquese Chriss,0.048,0.59,41.0,0.156,1.258,131.20000000000002,0.0,0.0,0.0,0.105,0.872,82.0,0.089,0.644,73.8,0.284,0.854,229.6,0.0,0.0,0.0,0.117,1.417,98.39999999999999,0.02,0.625,16.400000000000002,0.093,1.013,73.8,0.071,0.362,57.4
Marreese Speights,0.034,0.783,24.599999999999998,0.074,0.9,49.199999999999996,0.0,0.0,0.0,0.256,0.988,172.20000000000002,0.093,0.968,65.60000000000001,0.303,1.215,205.0,0.0,0.0,0.0,0.059,1.35,41.0,0.0,0.0,0.0,0.1,1.147,65.60000000000001,0.066,0.422,41.0
Marvin Williams,0.0,0.0,0.0,0.111,1.228,91.2,0.0,0.0,0.0,0.135,1.009,114.0,0.045,0.919,38.0,0.425,0.972,349.59999999999997,0.023,1.0,22.8,0.09,1.253,76.0,0.045,0.811,38.0,0.059,1.0,45.6,0.064,0.868,53.199999999999996
Mason Plumlee,0.054,0.706,32.4,0.102,1.266,64.8,0.0,0.0,0.0,0.185,0.888,113.4,0.072,0.822,43.2,0.059,0.838,37.8,0.0,0.0,0.0,0.292,1.142,183.6,0.0,0.0,0.0,0.105,1.182,64.8,0.105,0.258,64.8
Matt Barnes,0.028,1.0,16.2,0.151,0.827,75.6,0.054,1.0,27.0,0.048,0.625,21.6,0.0,0.0,0.0,0.365,0.912,183.6,0.0,0.0,0.0,0.081,1.225,37.8,0.042,0.952,21.6,0.073,0.806,37.8,0.121,0.333,59.400000000000006
Matthew Dellavedova,0.04,0.536,30.400000000000002,0.094,0.742,68.4,0.396,0.728,281.2,0.033,1.261,22.8,0.0,0.0,0.0,0.237,0.958,167.20000000000002,0.051,0.556,38.0,0.026,1.167,15.200000000000001,0.04,1.321,30.400000000000002,0.0,0.0,0.0,0.078,0.436,53.199999999999996
Maurice Harkless,0.028,0.762,23.099999999999998,0.155,1.297,115.5,0.045,0.618,30.8,0.041,1.129,30.8,0.127,0.959,100.10000000000001,0.279,0.986,215.6,0.025,0.737,15.4,0.116,1.25,84.7,0.043,0.606,30.8,0.112,1.035,84.7,0.03,0.435,23.099999999999998
Maurice Ndour,0.0,0.0,0.0,0.18,1.15,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.773,23.099999999999998,0.0,0.0,0.0,0.27,1.033,29.7,0.0,0.0,0.0,0.126,0.643,13.200000000000001,0.0,0.0,0.0
Meyers Leonard,0.023,0.7,7.4,0.049,1.762,22.2,0.0,0.0,0.0,0.271,0.846,118.4,0.097,0.69,44.4,0.35,0.967,148.0,0.0,0.0,0.0,0.097,1.119,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.719,29.6
Michael Beasley,0.132,1.029,67.2,0.142,1.041,72.8,0.068,0.771,33.6,0.054,1.214,28.0,0.087,1.111,44.800000000000004,0.21,1.083,106.39999999999999,0.066,0.941,33.6,0.097,1.32,50.4,0.062,0.75,33.6,0.045,1.13,22.400000000000002,0.037,0.158,16.8
