PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Dennis Schroder,1048.0,0.958,72.0,0.96,104.0,0.71,568.0,0.0,0.0,0.0,0.0,1.078,128.0,1.156,64.0,1.0,16.0,1.085,48.0,0.0,0.0,0.478,48.0
Deron Williams,1001.0,0.875,110.5,0.953,104.0,0.718,279.5,0.0,0.0,0.862,84.5,1.077,169.0,0.847,58.5,1.222,19.5,1.009,117.0,0.0,0.0,0.738,58.5
Derrick Favors,1004.4,0.885,24.8,1.054,37.199999999999996,0.0,0.0,1.106,223.20000000000002,0.857,229.4,0.642,111.60000000000001,0.0,0.0,1.259,229.4,0.0,0.0,1.307,86.8,0.344,62.0
Derrick Rose,1293.6000000000001,0.817,125.39999999999999,0.852,191.4,0.842,561.0,0.0,0.0,0.0,0.0,0.94,217.79999999999998,0.652,46.199999999999996,0.733,46.199999999999996,0.882,19.8,0.75,26.400000000000002,0.614,59.4
Derrick Williams,760.0,0.938,80.0,1.052,152.0,0.737,40.0,1.018,56.0,0.93,72.0,0.923,160.0,0.9,24.0,1.346,80.0,0.919,40.0,1.286,32.0,0.739,24.0
Devin Booker,1140.0000000000002,0.814,68.4,1.166,212.79999999999998,0.799,304.0,0.0,0.0,1.108,38.0,0.899,129.2,0.683,83.60000000000001,1.37,45.6,0.954,152.0,1.417,15.200000000000001,0.522,91.2
Devin Harris,492.80000000000007,0.778,19.2,1.133,102.4,0.793,108.8,0.0,0.0,0.0,0.0,1.021,140.8,0.958,25.6,1.552,32.0,1.059,19.2,0.0,0.0,0.6,44.8
Dewayne Dedmon,226.2,0.0,0.0,1.55,17.4,0.0,0.0,1.379,63.800000000000004,1.067,17.4,0.0,0.0,0.0,0.0,0.983,58.0,0.0,0.0,0.978,46.400000000000006,0.308,23.200000000000003
Dion Waiters,873.6,0.772,132.6,0.854,171.60000000000002,0.689,226.2,0.0,0.0,0.0,0.0,1.041,218.39999999999998,0.906,31.200000000000003,0.0,0.0,0.889,62.400000000000006,1.0,7.800000000000001,0.455,23.4
Dirk Nowitzki,1312.5,1.066,60.0,1.344,60.0,0.0,0.0,1.033,247.5,1.021,390.0,0.938,292.5,0.8,7.5,1.548,45.0,0.965,112.5,1.086,37.5,0.85,60.0
Donald Sloan,463.6,1.0,30.5,1.083,85.39999999999999,0.752,158.6,0.0,0.0,0.0,0.0,1.031,97.60000000000001,0.846,24.400000000000002,0.974,36.6,0.0,0.0,0.0,0.0,0.424,30.5
Donatas Motiejunas,266.4,0.0,0.0,0.962,25.9,0.0,0.0,0.88,51.8,0.867,59.2,0.793,59.2,0.0,0.0,0.889,37.0,0.0,0.0,0.882,18.5,0.375,14.8
Doug McDermott,712.8,0.0,0.0,1.042,121.5,1.192,24.3,0.0,0.0,0.905,24.3,1.167,202.5,0.97,97.2,1.365,72.9,0.805,113.39999999999999,1.0,32.4,0.625,24.3
Draymond Green,1231.1999999999998,0.902,64.8,0.881,226.79999999999998,0.852,64.8,1.019,153.9,0.67,105.3,1.013,243.0,1.25,16.2,1.373,121.5,1.107,24.3,0.965,89.10000000000001,0.423,121.5
Drew Gooden,96.0,0.0,0.0,0.727,12.0,0.0,0.0,0.469,33.0,0.0,0.0,0.594,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176,18.0,0.0,0.0
Dwight Howard,965.6,0.0,0.0,1.115,63.9,0.0,0.0,1.099,92.3,0.822,298.2,0.0,0.0,0.0,0.0,1.384,213.0,0.0,0.0,1.146,142.0,0.529,156.20000000000002
Dwight Powell,400.19999999999993,0.0,0.0,1.346,27.6,0.0,0.0,0.936,96.6,0.0,0.0,0.621,55.2,0.0,0.0,1.426,110.4,0.5,41.4,0.892,34.5,0.75,34.5
Dwyane Wade,1561.4,0.715,170.2,1.045,199.8,0.846,547.6,0.0,0.0,0.855,162.8,0.974,111.0,0.783,66.60000000000001,1.038,81.4,1.011,88.8,1.22,59.2,0.781,74.0
E'Twaun Moore,448.4000000000001,0.733,17.7,0.94,82.6,0.796,112.1,0.0,0.0,0.727,11.8,1.143,123.9,1.023,41.3,1.545,23.6,0.0,0.0,1.0,11.8,0.636,23.6
Ed Davis,469.8,0.0,0.0,1.0,16.2,0.0,0.0,1.042,121.5,1.0,24.3,0.0,0.0,0.0,0.0,1.192,129.6,0.0,0.0,1.212,137.7,0.591,40.5
Elfrid Payton,985.5000000000001,0.857,73.0,0.98,153.3,0.678,343.1,0.0,0.0,0.0,0.0,0.785,175.2,0.75,58.400000000000006,0.981,51.099999999999994,0.368,21.9,1.275,36.5,0.589,73.0
Elton Brand,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.565,23.799999999999997,0.0,0.0,0.769,13.600000000000001,0.0,0.0,0.923,25.5,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Mudiay,1224.0000000000002,0.543,81.6,0.817,183.60000000000002,0.641,523.6,0.0,0.0,0.441,34.0,0.78,183.60000000000002,0.931,61.2,1.086,34.0,1.093,40.8,0.765,20.4,0.552,61.2
Enes Kanter,934.8,0.714,16.400000000000002,1.361,82.0,0.0,0.0,1.095,188.6,0.888,180.4,1.167,49.199999999999996,0.0,0.0,1.287,155.79999999999998,0.0,0.0,1.196,205.0,0.639,57.4
Eric Bledsoe,668.8000000000001,0.798,89.6,1.087,128.0,0.973,259.2,0.0,0.0,0.545,9.6,0.843,83.2,0.778,19.2,1.364,9.6,0.633,28.8,0.0,0.0,0.683,41.6
Eric Gordon,670.5,0.766,45.0,1.2,108.0,0.95,180.0,0.0,0.0,0.0,0.0,1.059,189.0,0.867,45.0,1.4,9.0,0.947,76.5,0.0,0.0,0.842,18.0
Ersan Ilyasova,608.4000000000001,0.0,0.0,1.27,88.39999999999999,0.0,0.0,0.695,83.2,0.852,26.0,0.99,208.0,0.7,10.4,1.073,41.6,0.949,41.6,0.987,78.0,0.267,31.2
Evan Fournier,1161.3,0.983,55.3,1.342,189.6,0.804,252.8,0.0,0.0,0.0,0.0,1.052,292.3,0.941,102.7,1.308,55.3,1.075,150.1,1.176,15.8,0.627,47.4
Evan Turner,1004.3999999999999,0.895,105.3,1.04,153.9,0.708,315.9,0.0,0.0,0.99,105.3,0.746,137.7,0.982,56.699999999999996,1.233,40.5,0.818,24.3,0.826,24.3,0.585,40.5
Festus Ezeli,317.40000000000003,0.0,0.0,1.389,18.400000000000002,0.0,0.0,1.058,50.6,0.696,69.0,0.0,0.0,0.0,0.0,1.286,96.60000000000001,0.0,0.0,0.863,50.6,0.516,32.199999999999996
Frank Kaminsky,639.9,0.92,24.3,1.075,40.5,0.0,0.0,1.0,129.6,0.786,72.9,0.813,210.6,0.455,8.1,1.295,64.8,1.053,16.2,1.355,32.4,0.658,40.5
Garrett Temple,624.0,1.143,16.0,1.076,200.0,0.59,64.0,0.0,0.0,0.0,0.0,0.97,200.0,0.75,16.0,0.808,24.0,0.735,48.0,1.067,16.0,0.744,40.0
Gary Harris,919.6000000000001,0.778,38.0,1.221,197.6,0.8,98.8,0.0,0.0,0.0,0.0,0.983,243.20000000000002,0.888,136.8,1.27,91.2,0.971,68.4,1.111,15.200000000000001,0.656,30.400000000000002
Gary Neal,364.0,1.565,24.0,1.058,52.0,1.076,92.0,0.0,0.0,0.0,0.0,0.884,96.0,1.243,36.0,0.0,0.0,0.981,52.0,0.0,0.0,0.154,12.0
George Hill,895.4,0.86,44.4,1.059,185.0,0.792,259.0,0.0,0.0,0.727,7.4,1.112,177.6,0.892,37.0,1.581,29.6,1.157,81.4,1.318,22.2,0.633,51.8
Gerald Green,662.4000000000001,0.682,20.7,1.0,117.3,0.837,48.3,0.0,0.0,1.737,20.7,1.009,234.6,0.797,75.9,0.917,20.7,0.693,75.9,1.053,20.7,0.548,27.6
Gerald Henderson,655.1999999999999,0.807,57.6,1.161,86.39999999999999,0.719,122.39999999999999,0.0,0.0,0.846,50.4,0.986,144.0,0.816,50.4,1.429,36.0,0.836,57.6,1.375,14.4,0.474,36.0
Giannis Antetokounmpo,1400.0,0.825,216.0,1.224,288.0,0.814,144.0,0.829,32.0,0.798,112.0,0.835,232.0,0.571,32.0,1.314,152.0,0.6,16.0,1.226,88.0,0.648,88.0
Glenn Robinson III,166.5,0.0,0.0,1.163,49.50000000000001,0.294,18.0,0.0,0.0,0.0,0.0,0.792,49.50000000000001,1.3,9.0,1.458,22.5,0.474,18.0,0.0,0.0,0.0,0.0
Goran Dragic,1137.6,0.914,72.0,1.073,237.6,0.789,432.0,0.0,0.0,0.0,0.0,1.0,180.0,0.742,64.8,1.032,28.8,0.814,43.199999999999996,1.231,28.8,0.615,50.4
Gordon Hayward,1608.0,0.881,176.0,1.312,216.0,0.824,392.0,1.929,16.0,0.879,32.0,0.994,312.0,0.843,184.0,1.161,64.0,0.86,120.0,1.125,32.0,0.75,64.0
Gorgui Dieng,828.1999999999999,0.645,32.800000000000004,1.383,57.4,0.0,0.0,0.946,188.6,0.9,131.20000000000002,0.898,114.8,0.0,0.0,1.386,139.4,0.0,0.0,1.178,73.8,0.438,90.2
Greg Monroe,1192.8999999999999,0.855,63.2,1.231,63.2,0.0,0.0,1.069,126.4,0.862,410.8,0.96,71.10000000000001,0.0,0.0,1.203,213.3,0.846,15.8,1.153,173.8,0.719,55.3
Greg Smith,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.4,0.0,0.0,0.0,0.0,0.0,0.0,1.154,12.6,0.0,0.0,0.0,0.0,0.0,0.0
Greivis Vasquez,163.3,0.0,0.0,0.588,16.099999999999998,0.55,59.800000000000004,0.0,0.0,0.0,0.0,0.797,64.39999999999999,1.214,13.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.200000000000001
Harrison Barnes,745.8,0.815,66.0,1.133,145.20000000000002,0.939,33.0,0.955,19.8,0.905,92.39999999999999,1.077,217.79999999999998,0.8,13.200000000000001,1.194,72.60000000000001,0.903,33.0,1.148,26.400000000000002,0.828,26.400000000000002
Hassan Whiteside,963.5999999999999,0.9,21.9,1.316,36.5,0.0,0.0,1.342,197.10000000000002,0.786,211.7,0.895,21.9,0.0,0.0,1.405,175.2,0.0,0.0,1.189,197.10000000000002,0.343,102.19999999999999
Henry Sims,95.2,0.0,0.0,0.0,0.0,0.0,0.0,1.048,21.0,0.778,18.2,0.5,12.6,0.0,0.0,1.263,19.599999999999998,0.0,0.0,1.0,12.6,0.364,11.200000000000001
Hollis Thompson,793.0999999999999,0.692,15.4,1.113,154.0,0.558,53.9,0.0,0.0,0.0,0.0,1.102,315.7,0.753,92.39999999999999,1.167,38.5,0.662,61.6,0.909,30.8,0.37,30.8
